Doris	555
Dorjana	36
Dorotea	50
Doroteja	1419
Doroteja Marija	8
Dorothea	5
Dosta	19
Dostana	9
Draga	554
Draga Marija	..
Dragana	770
Dragi	7
Dragica	6390
Dragica Karolina	7
Dragica Marija	9
Draginja	102
Dragojla	26
Dragomila	6
Dragomira	72
Dragosava	7
Dragoslava	55
Dragotina	60
Draguška	9
Dražana	14
Dražena	13
Draženka	31
Drena	30
Drenka	29
Drenusha	10
Drina	8
Drita	48
Dubravka	180
Duja	..
Dunja	578
Dursuma	23
Duša	58
Dušana	29
Dušanka	1265
Dušica	395
Dušica Marija	6
Duška	142
Džana	22
Džarije	..
Džehva	20
Džejla	10
Džejlana	7
Džemila	68
Džemile	5
Dženana	46
Dženeta	13
Dženi	9
Dženisa	14
Dženita	31
Dževada	18
Dževahira	9
Dževida	16
Džina	..
Đana	8
Đemila	15
Đemka	5
Đenana	6
Đesika	..
Đevada	7
Đina	9
Đuja	17
Đuka	17
Đula	34
Đulija	5
Đulijana	6
Đulsa	9
Đurđa	75
Đurđica	149
Đurđija	16
Đurđina	8
Ebru	5
Ecaterina	5
Eda	178
Edda	5
Edeltraud	11
Edeltraut	..
Edeltruda	8
Edes	5
Edica	17
Edina	386
Edisa	115
Edit	28
Edita	734
Edita Marija	5
Edith	19
Edmira	7
Edna	17
Edona	40
Edvarda	26
Edvina	60
Egidija	26
Egzona	28
Ehlimana	7
Ejla	9
Ejna	9
Ekaterina	41
Ekrema	33
Ela	1490
Ela Marija	5
Elda	132
Eldina	62
Elen	48
Elena	768
Eleonora	109
Elfete	7
Elfi	6
Elfije	14
Elfrida	57
Elfriede	..
Elhame	9
Elhana	10
Elheme	5
Eli	104
Eliana	9
Elica	109
Elida	45
Elide	9
Elif	10
Elifa	..
Elin	54
Elina	64
Elis	41
Elisa	76
Elisabeth	17
Elisabetta	7
Elita	8
Eliza	70
Elizabet	13
Elizabeta	3746
Elizabeta Marija	11
Elizabeta Špela	7
Elizabeth	12
Elizaveta	15
Elja	..
Eljesa	9
Elka	36
Elke	..
Ella	194
Elle	5
Ellen	21
Ellena	5
Elli	10
Elly	5
Elma	289
Elmaza	5
Elmedina	77
Elmina	27
Elmira	32
Elona	19
Elsa	44
Elvane	5
Elvedina	82
Elvina	27
Elvira	637
Elvisa	162
Ely	5
Elza	163
Elzana	9
Ema	4447
Ema Ana	10
Ema Julija	8
Ema Marija	17
Emana	11
Emanuela	148
Emela	6
Emi	24
Emica	123
Emila	17
Emili	51
Emilia	29
Emilie	..
Emilija	1639
Emilija Jožefa	..
Emilija Marija	11
Emilija Milena	8
Emilijana	100
Emilja	8
Emiljana	20
Emily	28
Emina	627
Emine	76
Emira	226
Emka	6
Emma	173
Emra	15
Emrije	10
Emsada	13
Emsuda	24
Ena	46
Endrina	10
Enea	27
Eneja	168
Enesa	63
Engelberta	6
Eni	15
Enia	16
Enida	25
Enisa	274
Enita	9
Enja	128
Enna	8
Enrika	5
Envera	9
Enya	33
Era	8
Erblina	11
Erica	14
Erika	2853
Erika Marija	16
Erin	90
Erina	32
Erisa	8
Erjona	9
Erma	5
Ermela	6
Ermelinda	10
Ermina	133
Erminija	27
Ermira	15
Erna	965
Erna Marija	13
Ernada	7
Ernesa	12
Ernesta	106
Ernestina	116
Ernisa	5
Erntruda	6
Erona	7
Ervina	43
Erza	33
Erzsebet	..
Erzsébet	11
Erzumane	9
Eržebet	14
Esada	26
Esma	213
Esmeralda	24
Esmina	14
Esmira	29
Estela	8
Ester	322
Estera	181
Esterka	..
Esther	8
Ešefa	8
Eta	13
Etel	7
Etelka	72
Eufemija	7
Eugenija	11
Eva	8026
Eva Ana	8
Eva Barbara	6
Eva Julija	22
Eva Katarina	6
Eva Lana	5
Eva Lina	7
Eva Lucija	..
Eva Luna	6
Eva Maria	7
Eva Marija	39
Eva Zala	10
Evelin	259
Evelina	228
Eveline	7
Evelyn	31
Evfemija	..
Evgenia	..
Evgenija	91
Evgeniya	6
Evica	55
Evita	108
Evlalija	17
Ezana	7
Fabijana	9
Fadila	162
Fahira	23
Fahreta	13
Fahrija	13
Fahrije	23
Faiza	5
Fajla	..
Faketa	14
Fanči	13
Fani	222
Fanica	..
Fanika	275
Farah	5
Farije	15
Farzila	6
Fata	107
Fatbardha	7
Fate	38
Fatima	483
Fatime	157
Fatjona	16
Fatka	17
Fatlinda	19
Fatma	69
Fatmira	5
Fatmire	42
Fazila	16
Fazile	9
Federica	8
Federika	..
Fedha	5
Fehima	19
Fehime	6
Fehrija	7
Fekrije	11
Felicita	47
Femije	5
Ferdeze	..
Ferdije	5
Ferdinanda	43
Ferida	128
Feride	23
Fernanda	7
Festina	7
Fetija	14
Fetije	36
Fidanka	5
Fides	7
Fiknete	8
Fikra	9
Fikreta	167
Fikrete	8
Fikrije	10
Filipa	13
Filipina	23
Filloreta	5
Filomena	43
Fina	9
Finka	23
Fiona	44
Fiorela	8
Fiorella	5
Fitore	29
Fjola	..
Fjolla	17
Flavia	9
Flavija	14
Fljorije	5
Flora	72
Florentina	25
Flori	5
Floriana	..
Florie	..
Florijana	96
Florijana Cvetka	5
Florije	27
Florina	10
Florinda	7
Florjana	100
Flurije	14
Flutra	5
Franca	57
Francesca	9
Francika	13
Franciska	50
Franciška	..
Francka	396
Frančiška	7832
Frančiška Ana	8
Frančiška Antonija	..
Frančiška Ivana	..
Frančiška Jožefa	..
Frančiška Marija	21
Frančka	10
Franica	43
Franja	297
Franjica	28
Franjka	..
Franka	137
Franziska	6
Freja	11
Frida	380
Friderika	202
Friderika Marija	..
Frosina	5
Fuada	8
Fulvia	8
Gabi	64
Gabika	6
Gabriela	429
Gabriela Marija	6
Gabriele	9
Gabriella	26
Gabrijela	2087
Gabrijela Jelka	8
Gabrijela Marija	19
Gaia	115
Gaja	1302
Gala	70
Galina	41
Galja	13
Galyna	..
Ganimet	6
Ganimete	49
Ganna	15
Gea	55
Geja	5
Gena	8
Geni	8
Genovefa	207
Genoveva	..
Genta	5
Gentiana	15
Gentijana	9
Georgina	13
Gera	26
Gerda	9
Gerlinda	5
Germana	12
Gerta	17
Gertrud	8
Gertruda	62
Gertrude	..
Giada	6
Gianna	6
Gigliola	7
Gilda	5
Giliola	8
Gina	72
Gioconda	6
Gioia	6
Giorgina	8
Giovanna	7
Gisella	..
Gita	26
Giulia	21
Giuliana	25
Giuseppina	12
Gizela	636
Gizela Marija	..
Gizella	11
Gjevrije	..
Gjurgja	5
Gjurgjica	10
Gjyla	..
Gloria	205
Glorija	168
Goja	25
Gojka	7
Gopa	5
Gorana	50
Goranka	27
Gordana	1744
Gorica	48
Gorjana	5
Gospa	60
Gospana	14
Gospava	28
Gospe	7
Gospova	31
Gozdana	5
Graciela	12
Gracija	7
Gracijana	5
Gracijela	75
Gracjela	25
Grazia	5
Graziella	19
Gresa	24
Greta	374
Greti	35
Gretica	26
Gretka	5
Grozda	34
Grozdana	95
Gruša	8
Gusti	6
Gyoengyi	..
Gyoengyike	..
Gyöngyi	8
Gyöngyike	6
Gzime	8
Habiba	10
Habibe	11
Hadije	..
Hadjija	5
Hadžera	7
Hadžere	5
Hadžira	12
Hafeza	13
Hafiza	10
Haidi	5
Hajdeja	15
Hajdi	42
Hajnalka	10
Hajra	49
Hajrija	88
Hajrije	36
Hajruša	6
Halida	81
Halima	27
Halime	25
Halyna	13
Hamida	56
Hamide	28
Hamša	5
Hana	2642
Hana Lia	5
Hana Marija	10
Hanah	12
Hanan	5
Hanča	5
Hanče	5
Hani	7
Hanifa	55
Hanife	30
Hanija	14
Hanisa	6
Hanka	60
Hankija	5
Hanna	146
Hannah	19
Hannelore	6
Harisa	23
Haseda	48
Hasema	7
Hasiba	69
Hasibe	35
Hasija	31
Hasime	9
Hasnija	106
Haša	5
Hašija	8
Hašima	7
Hata	55
Hatema	6
Hatemina	6
Hatidža	65
Hatidže	24
Hatiđe	5
Hatije	7
Hatixhe	20
Hatka	15
Hato	..
Hava	83
Haxhere	13
Hazbije	..
Hazema	20
Hazemina	15
Hazima	13
Heda	34
Hedija	23
Hedviga	60
Hedvika	873
Hedvika Marija	10
Heidi	61
Hejdi	6
Hela	9
Helen	..
Helena	6544
Helena Alenka	11
Helena Jelka	5
Helena Marija	27
Helenca	112
Helga	109
Helma	5
Hema	62
Hena	6
Henrika	22
Herma	9
Hermina	954
Hermina Marija	6
Herminija	5
Herolinda	..
Herta	121
Hiacinta	5
Hida	14
Hidaeta	..
Hidajeta	21
Hidajete	14
Hijacinta	19
Hikmeta	11
Hilarija	31
Hilda	634
Hilda Marija	7
